"threshold","season","region","available_profiles","eligible_profiles","retention_pct"
0.33,"fall","east",1485324,1428314,96.1617801907193
0.33,"fall","west",798554,699155,87.5526263721677
0.33,"spring","east",1330478,1192246,89.6103505657365
0.33,"spring","west",708641,572047,80.7245135407068
1.5,"fall","east",1485324,1310599,88.2365732998322
1.5,"fall","west",798554,541524,67.8130721278711
1.5,"spring","east",1330478,975834,73.3446174983728
1.5,"spring","west",708641,419238,59.160844489664
6.7,"fall","east",1485324,998733,67.240076912512
6.7,"fall","west",798554,320902,40.1853850835385
6.7,"spring","east",1330478,598729,45.0010447373049
6.7,"spring","west",708641,240771,33.9764422323857
25,"fall","east",1485324,569723,38.3568164252379
25,"fall","west",798554,128250,16.0602789542097
25,"spring","east",1330478,286711,21.5494731968511
25,"spring","west",708641,101989,14.3921957662625
74,"fall","east",1485324,247026,16.6311188669947
74,"fall","west",798554,33274,4.1667814574844
74,"spring","east",1330478,117531,8.83374245947697
74,"spring","west",708641,31534,4.44992598508977
